id,level,sr_no,raw,kanji,hiragana,meaning,hint,sentence,supporting_word_1,supporting_word_2,page_no
1,N1,1,相子,相子,あいこ,"draw, tie​",,,,,148.0
2,N1,2,合図,合図,あいず,"sign, signal",,,,,87.0
3,N1,3,愛想がいい＊,愛想がいい,あいそがいい,"Friendly, sociable, pleasant demeanor",/悪い、人に接する時の態度、表情,彼女はいつも愛想がいい人です。,彼女はいつも,人です。(/悪い、人に接する時の態度、表情),12.0
4,N1,4,間柄,間柄,あいだがら,"Relationship, connection",,,,,89.0
5,N1,5,相次ぐ＊,相次ぐ,あいつぐ,To happen in succession,,,,,92.0
6,N1,6,生憎,生憎,あいにく,"unfortunately, sorry, but ...​",,,,,58.0
7,N1,7,合間,合間,あいま,"interval, break, pause",,,,,73.0
8,N1,8,敢えて,敢えて,あえて,"Boldly, daringly",,,,,58.0
9,N1,9,仰向け＊,仰向け,あおむけ,"Face up, lying on one's back",,寝るとき、私は通常仰向けに寝ます。,寝るとき、私は通常,に寝ます。,17.0
10,N1,10,垢+,垢,あか,"Grime, dirt",,,,,139.0
11,N1,11,足掻く＊,足掻く,あがく,"To struggle, to kick, to flail one's legs",implies a sense of desperate or violent struggle,水中で足掻く～て泳ぎました。,水中で,～て泳ぎました。(implies a sense of desperate or violent struggle),17.0
12,N1,12,明かす,明かす,あかす,"To reveal, make clear",,,,,70.0
13,N1,13,赤の他人＊,赤の他人,あかのたにん,A total stranger,,,,,148.0
14,N1,14,赤らめる,赤らめる,あからめる,To blush,,,,,30.0
15,N1,15,呆れる,呆れる,あきれる,"to be amazed, to be shocked",Aについて①びっくりする②？,彼に何回注意してもカンニングを止めない。彼に呆れる～てしまう。,彼に何回注意してもカンニングを止めない。彼に,～てしまう。(Aについて①びっくりする②？),15.0
16,N1,16,悪どい,悪どい,あくどい,"showy, crooked, vicious",やり方が悪い、1000円のものを一万に売ること,,,(やり方が悪い、1000円のものを一万に売ること),38.0
17,N1,17,痣+,痣,あざ,Bruise,体を強くぶつけた時にできる、色が紫色になる。,,,(体を強くぶつけた時にできる、色が紫色になる。),139.0
